autor,qtd_livros,total_avaliacoes,media_avaliacao
 Anna Snoekstra ,1.0,866.0,3.8
 Celeste Ng ,4.0,10.0,4.06
A. J. Rich,1.0,637.0,3.5
A.J. Finn,2.0,20.0,4.2
A.S.A. Harrison,1.0,1.0,3.3
Adam Christopher,1.0,157.0,3.9
Agatha Christie,35.0,951.0,4.427234490010515
Agota Kristof,3.0,3.0,5.0
Aimee Molloy,1.0,160.0,3.5
Alix Christie,1.0,18.0,3.5
Allen Eskens,2.0,942.0,4.2
Alyson Noël,1.0,213.0,3.5
Andrea Portes,1.0,22.0,4.0
Andrew Kaplan,1.0,256.0,3.8
André Vianco,1.0,1.0,3.8
Angela Marsons,2.0,842.0,4.200000000000001
Anne Fortier,3.0,15.0,4.4
Anne Rice,4.0,627.0,3.8480063795853265
Antonio Mendez,1.0,527.0,3.5
Arthur Conan Doyle,2.0,244.0,4.495901639344262
Becca Fitzpatrick,2.0,22.0,4.263636363636363
Belinda Starling,1.0,13.0,3.8
Benjamin Black,1.0,43.0,3.0
Blake Crouch,1.0,605.0,4.0
Bram Stoker,3.0,925.0,4.392216216216217
Brian James,1.0,587.0,3.1
Brittany Cavallaro,2.0,929.0,3.8
Börge Hellström,1.0,44.0,4.1
C.J. Tudor,6.0,38.0,3.8210526315789473
Camilla Läckberg,5.0,2414.0,3.9681855840927915
Cara Hoffman,1.0,267.0,3.2
Carmen Posadas,1.0,24.0,2.9
Caroline Kepnes,3.0,275.0,3.501454545454546
Chandler Baker,3.0,3.0,4.1
Charles Dickens,1.0,265.0,4.1
Chris Pavone,1.0,181.0,3.3
Christian Jungersen,1.0,188.0,3.6000000000000005
Christopher Reich,1.0,59.0,3.9
Chuck Hogan,1.0,738.0,3.9
Claire Kendal,2.0,1130.0,3.5
Clare Mackintosh,2.0,1518.0,4.2
Claudia Gray,1.0,701.0,4.1
Colleen Hoover,3.0,19.0,4.347368421052632
Copi,1.0,10.0,4.3
Courtney Cole,2.0,302.0,3.9947019867549662
Curt Sutherly,1.0,31.0,3.5
Dan Brown,21.0,955.0,4.158743455497382
Dana Mele,1.0,292.0,3.5
Daniel Cole,1.0,348.0,4.0
Daniel Silva,12.0,1223.0,3.96107931316435
Danilo Barbosa,1.0,417.0,4.2
David Baldacci,1.0,45.0,4.2
David Gibbins,2.0,155.0,3.508387096774194
David Koepp,1.0,82.0,3.5
Delia Owens,1.0,2.0,4.3
Diane Hoh,14.0,1156.0,3.6309688581314883
Dmitry Glukhovsky,1.0,594.0,4.1
Dolores Redondo,1.0,1.0,5.0
Don Winslow,3.0,1336.0,3.878368263473054
Donna Tartt,1.0,911.0,4.3
Dot Hutchison,2.0,277.0,3.90216606498195
Duane Swierczynski,1.0,6.0,3.7999999999999994
Edgar Allan Poe,1.0,7.0,4.2
Edgar Cantero,2.0,994.0,3.5
Elizabeth Haynes,3.0,574.0,3.3062717770034844
Elizabeth Little,1.0,52.0,3.3999999999999995
Erik Larson,1.0,284.0,3.8999999999999995
Erin Morgenstern,2.0,8.0,4.0
Eva Ibbotson,1.0,282.0,4.3
FML Pepper,2.0,13.0,4.176923076923076
Federico Axat,1.0,314.0,4.1
Fiódor Dostoiévski,1.0,17.0,4.6
Florencia Etcheves,2.0,2.0,3.8
Frances Hodgson Burnett,1.0,7.0,4.3
Franck Thilliez,2.0,1267.0,4.204656669297552
Franz Kafka,2.0,9.0,4.0
Gillian Flynn,9.0,117.0,4.245299145299145
Giulio Leoni,1.0,693.0,2.9
Gordon Reece,1.0,2.0,4.0
Gore Vidal,1.0,12.0,3.7000000000000006
Gregg Hurwitz,1.0,812.0,3.7
Guillaume Prévost,1.0,29.0,3.8
Guillermo Martínez,1.0,8.0,4.4
Guillermo del Toro,2.0,3.0,3.9333333333333336
Gustavo Ávila,2.0,279.0,4.2
Gwenda Bond,1.0,892.0,4.0
H. G. Wells,2.0,4.0,3.8
H. P. Lovecraft,5.0,8.0,4.3
Hans Koppel,1.0,602.0,3.6000000000000005
Harlan Coben,34.0,2226.0,4.307996406109614
Henry Fielding,1.0,268.0,3.9000000000000004
Herman Koch,1.0,658.0,3.4
Hugh Laurie,2.0,4.0,3.7
Ian Caldwell,1.0,1.0,3.1
Ildefonso Falcones,1.0,92.0,4.3
J. R. R. Tolkien ,1.0,4.0,4.2
J. R. Ward ,5.0,1897.0,4.267158671586716
J.K. Rowling ,38.0,4790.0,4.637536534446764
James A. Michener,1.0,7.0,3.7
James Clavell,1.0,1.0,4.6
James Ellroy,1.0,141.0,4.0
James Frey,1.0,43.0,3.4
James Grippando,1.0,261.0,3.6
James McKean,1.0,11.0,3.0
James Patterson,12.0,5591.0,4.015095689500983
James Reese,1.0,102.0,3.5
James Rollins,2.0,247.0,4.07165991902834
Jane Dunn,1.0,20.0,4.6
