titulo,autor,idioma,editora,media_avaliacao,total_avaliacao,abandonos,relendo,querem_ler,lendo,leram,genero_literario,genero,grau_popularidade
Offering to the storm,Dolores Redondo,inglês,HarperCollins,5.0,1,0,0,1,0,0,suspense e mistério,Feminino,Média
Os Filhos do Capitão Grant,Júlio Verne,português,Jornal,5.0,1,1,0,10,0,5,suspense e mistério,Feminino,Média
A prova,Agota Kristof,português,Rocco,5.0,1,0,0,3,0,3,suspense e mistério,Feminino,Média
A prova,Agota Kristof,português,Rocco,5.0,1,0,0,3,0,3,suspense e mistério,Feminino,Média
A prova,Agota Kristof,português,Rocco,5.0,1,0,0,3,0,3,suspense e mistério,Feminino,Média
Harry Potter e as Relíquias da Morte,J.K. Rowling ,português,Rocco,4.8,109,715,688,101,2,320,suspense e mistério,Feminino,Baixa
Harry Potter e as Relíquias da Morte,J.K. Rowling ,português,Rocco,4.8,109,715,688,101,2,320,suspense e mistério,Feminino,Baixa
Harry Potter e as Relíquias da Morte,J.K. Rowling ,português,Rocco,4.8,109,715,688,101,2,320,suspense e mistério,Feminino,Baixa
Harry Potter e as Relíquias da Morte,J.K. Rowling ,português,Rocco,4.8,109,715,688,101,2,320,suspense e mistério,Feminino,Baixa
Harry Potter e as Relíquias da Morte,J.K. Rowling ,português,Rocco,4.8,109,715,688,101,2,320,suspense e mistério,Feminino,Baixa
Harry Potter e As Relíquias da Morte,J.K. Rowling ,português,Rocco,4.8,109,715,688,101,2,320,suspense e mistério,Feminino,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,português,Rocco,4.7,110,606,481,99,2,326,suspense e mistério,Feminino,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,português,Rocco,4.7,110,606,481,99,2,326,suspense e mistério,Feminino,Baixa
Box - Sherlock Holmes - 4 Volumes,Sir Arthur Conan Doyle,português,HarperCollins,4.7,491,15,8,2,475,776,suspense e mistério,Feminino,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,português,Rocco,4.7,132,737,609,58,3,376,suspense e mistério,Feminino,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,português,Rocco,4.7,132,737,609,58,3,376,suspense e mistério,Feminino,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,português,Rocco,4.7,110,606,481,99,2,326,suspense e mistério,Feminino,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,português,Rocco,4.7,132,737,609,58,3,376,suspense e mistério,Feminino,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,português,Rocco,4.7,110,606,481,99,2,326,suspense e mistério,Feminino,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,português,Rocco,4.7,132,737,609,58,3,376,suspense e mistério,Feminino,Baixa
Harry Potter e o Enigma do Príncipe,J.K. Rowling ,português,Rocco,4.7,110,606,481,99,2,326,suspense e mistério,Feminino,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,português,Rocco,4.7,132,737,609,58,3,376,suspense e mistério,Feminino,Baixa
Harry Potter e o Prisioneiro de Azkaban,J.K. Rowling ,português,Rocco,4.7,132,737,609,58,3,376,suspense e mistério,Feminino,Baixa
Harry Potter e o Cálice de Fogo,J.K. Rowling ,português,Rocco,4.6,120,1,700,86,4,350,suspense e mistério,Feminino,Baixa
Harry Potter e a Ordem da Fênix,J.K. Rowling ,português,Rocco,4.6,111,1,629,94,4,327,suspense e mistério,Feminino,Baixa
Os Pilares da Terra,Ken Follett,português,Rocco,4.6,4,174,17,8,822,6,suspense e mistério,Feminino,Baixa
O Enigma do Quarto 622,Joël Dicker,português,Intrínseca,4.6,66,0,0,306,107,45,suspense e mistério,Feminino,Baixa
Harry Potter e a Pedra Filosofal,J.K. Rowling ,português,Rocco,4.6,169,1,1,50,6,466,suspense e mistério,Feminino,Baixa
