titulo,autor,editora,media_avaliacao,total_avaliacoes,genero_literario,grau_popularidade
O Jardim Esquecido,Kate Morton,Arqueiro,4.5,529,Suspense,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,Suspense,Baixa
Sherlock Holmes - Volume 1,Arthur Conan Doyle,HarperCollins,4.5,239,Suspense,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,Suspense,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,Suspense,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,Suspense,Baixa
O Jardim Secreto de Eliza,Kate Morton,Rocco,4.5,529,Suspense,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,Suspense,Baixa
Harry Potter e a Câmara Secreta,J.K. Rowling ,Rocco,4.5,142,Suspense,Baixa
Box Coleção Agatha Christie,Agatha Christie,Nova,4.4,86,Suspense,Baixa
Sniper de Elite,Scott McEwen,Universo,4.4,93,Suspense,Baixa
Box Coleção Agatha Christie,Agatha Christie,Nova,4.4,218,Suspense,Baixa
Inveja,J. R. Ward ,Universo,4.4,414,Suspense,Baixa
Os Filhos da Tempestade,Rodrigo de Oliveira,Planeta,4.4,218,Suspense,Baixa
Branco Letal,Robert Galbraith,Rocco,4.4,899,Suspense,Baixa
Gataca,Franck Thilliez,Intrínseca,4.4,442,Suspense,Baixa
Fascínio,J. R. Ward ,Universo,4.4,224,Suspense,Baixa
Custe O Que Custar,Harlan Coben,Arqueiro,4.4,124,Suspense,Baixa
Branco Letal,Robert Galbraith,Rocco,4.4,899,Suspense,Baixa
Frankenstein; O Médico e o Monstro; Drácula,Bram Stoker,Martin,4.4,889,Suspense,Baixa
Caim e Abel,Jeffrey Archer,Sextante,4.4,646,Suspense,Baixa
A Esposa Silenciosa,Karin Slaughter,HarperCollins,4.4,100,Suspense,Baixa
Custe O Que Custar,Harlan Coben,Arqueiro,4.4,124,Suspense,Baixa
O Homem que Ri,Victor Hugo,Martin,4.4,115,Suspense,Baixa
Hideaway,Penelope Douglas,The,4.3,54,Suspense,Baixa
A Viúva Negra,Daniel Silva,HarperCollins,4.3,90,Suspense,Baixa
A Toda Prova,Harlan Coben,Arqueiro,4.3,987,Suspense,Baixa
Não Há Segunda Chance,Harlan Coben,Arqueiro,4.3,851,Suspense,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,Suspense,Baixa
Os Arquivos de Sherlock Holmes,Sir Arthur Conan Doyle,Martin,4.3,223,Suspense,Baixa
A Mão de Fátima,Ildefonso Falcones,Rocco,4.3,92,Suspense,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,Suspense,Baixa
Anjos e Demônios,Dan Brown,Sextante,4.3,63,Suspense,Baixa
Os Segredos de Ali,Sara Shepard,Rocco,4.3,393,Suspense,Baixa
A História Secreta,Donna Tartt,Planeta,4.3,911,Suspense,Baixa
Letais,Sara Shepard,Rocco,4.3,317,Suspense,Baixa
Anjos e Demônios,Dan Brown,Arqueiro,4.3,63,Suspense,Baixa
O último suspiro,Robert Bryndza,Gutenberg,4.3,739,Suspense,Baixa
Serafina e a Capa Preta,Robert Beatty,Valentina,4.3,620,Suspense,Baixa
A Garota do Casaco Azul,Monica Hesse,Rocco,4.3,69,Suspense,Baixa
Jornada pelo Rio Mar,Eva Ibbotson,Rocco,4.3,282,Suspense,Baixa
Deixei Você Ir,Clare Mackintosh,Intrínseca,4.2,759,Suspense,Baixa
1793,Niklas Natt och Dag,Intrínseca,4.2,156,Suspense,Baixa
A Ladra,J. R. Ward ,Universo,4.2,637,Suspense,Baixa
Arma de Vingança,Danilo Barbosa,Universo,4.2,417,Suspense,Baixa
A Identidade Bourne,Robert Ludlum,Rocco,4.2,613,Suspense,Baixa
Desejo,J. R. Ward ,Universo,4.2,621,Suspense,Baixa
Deixei Você Ir (e-Book),Clare Mackintosh,Intrínseca,4.2,759,Suspense,Baixa
A Casa do Lago,Kate Morton,Arqueiro,4.2,491,Suspense,Baixa
Jogos malignos,Angela Marsons,Gutenberg,4.2,191,Suspense,Baixa
Esposa Perfeita,Karin Slaughter,HarperCollins,4.2,734,Suspense,Baixa
Quando a luz apaga,Gustavo Ávila,Verus,4.2,274,Suspense,Baixa
A última mentira que contei,Riley Sager,Gutenberg,4.2,222,Suspense,Baixa
Desaparecidas,Kristina Ohlsson,Gutenberg,4.2,176,Suspense,Baixa
Gritos no silêncio,Angela Marsons,Gutenberg,4.2,651,Suspense,Baixa
Segredos Mortais,Robert Bryndza,Gutenberg,4.2,175,Suspense,Baixa
Nona Casa,Leigh Bardugo,Editora,4.2,382,Suspense,Baixa
O Ultimato Bourne,Robert Ludlum,Rocco,4.2,191,Suspense,Baixa
Caça ao Tesouro,Sara Shepard,Rocco,4.2,208,Suspense,Baixa
Arrasadoras,Sara Shepard,Rocco,4.2,375,Suspense,Baixa
Uma Fortuna Perigosa,Ken Follett,Arqueiro,4.2,523,Suspense,Baixa
O Desertor,Daniel Silva,Arqueiro,4.2,98,Suspense,Baixa
O Cortador de Pedras,Camilla Läckberg,Planeta,4.2,357,Suspense,Baixa
Imaculada,Kami Garcia,Galera,4.2,106,Suspense,Baixa
A Identidade Bourne,Robert Ludlum,Rocco,4.2,613,Suspense,Baixa
1º a Morrer,James Patterson,Rocco,4.2,734,Suspense,Baixa
A Carta Secreta,Lucinda Riley,Arqueiro,4.2,493,Suspense,Baixa
2ª Chance,James Patterson,Rocco,4.2,444,Suspense,Baixa
Calafrio,Sandra Brown,Rocco,4.2,347,Suspense,Baixa
A Supremacia Bourne,Robert Ludlum,Rocco,4.2,237,Suspense,Baixa
