titulo,autor,editora,media_avaliacao,total_avaliacoes,genero_literario,grau_popularidade
Minha Sombria Vanessa,Kate Elizabeth Russell,Intrínseca,4.3,2,Suspense,Baixa
Cidade nas Trevas,Adam Christopher,Intrínseca,3.9,157,Suspense,Baixa
Território Lovecraft,Matt Ruff,Intrínseca,3.8,950,Suspense,Baixa
A Última Festa (e-Book),Lucy Foley,Intrínseca,3.8,5,Suspense,Baixa
A Última Festa (e-Book),Lucy Foley,Intrínseca,3.8,5,Suspense,Baixa
A Última Festa,Lucy Foley,Intrínseca,3.8,5,Suspense,Baixa
1793,Niklas Natt och Dag,Intrínseca,4.2,156,Suspense,Baixa
Território Lovecraft,Matt Ruff,Intrínseca,3.8,950,Suspense,Baixa
As Outras Pessoas,C.J. Tudor,Intrínseca,4.2,1,Suspense,Baixa
As Outras Pessoas,C.J. Tudor,Intrínseca,4.2,1,Suspense,Baixa
Coraline,Neil Gaiman,Intrínseca,4.3,21,Suspense,Baixa
Malorie,Josh Malerman,Intrínseca,4.0,1,Suspense,Baixa
Coraline,Neil Gaiman,Intrínseca,4.3,21,Suspense,Baixa
Em Águas Profundas,Patricia Highsmith,Intrínseca,3.7,100,Suspense,Baixa
O Enigma do Quarto 622,Joël Dicker,Intrínseca,4.6,66,Suspense,Baixa
O Desaparecimento de Stephanie Mailer,Joël Dicker,Intrínseca,4.3,1,Suspense,Baixa
O Que Aconteceu Com Annie,C.J. Tudor,Intrínseca,3.8,4,Suspense,Baixa
O Caso da Mansão Deboën,Edgar Cantero,Intrínseca,3.5,497,Suspense,Baixa
Areia Movediça,Malin Persson Giolito,Intrínseca,3.9,557,Suspense,Baixa
O que Aconteceu com Annie,C.J. Tudor,Intrínseca,3.8,4,Suspense,Baixa
Raízes do Mal,Gwenda Bond,Intrínseca,4.0,892,Suspense,Baixa
Bird Box: Caixa de Pássaros,Josh Malerman,Intrínseca,4.2,32,Suspense,Baixa
Inspeção,Josh Malerman,Intrínseca,3.7,390,Suspense,Baixa
Rede de Sussurros,Chandler Baker,Intrínseca,4.1,1,Suspense,Baixa
