autor,titulo,abandonos,relendo,querem_ler,lendo,leram,genero_literario,genero,grau_popularidade
Kate Elizabeth Russell,Minha Sombria Vanessa,48,3,6,389,2,Suspense,Feminino,Baixa
Adam Christopher,Cidade nas Trevas,11,1,1,62,161,Suspense,Feminino,Baixa
Matt Ruff,Território Lovecraft,32,0,1,237,965,Suspense,Feminino,Baixa
Lucy Foley,A Última Festa (e-Book),87,3,8,527,5,Suspense,Feminino,Baixa
Lucy Foley,A Última Festa (e-Book),87,3,8,527,5,Suspense,Feminino,Baixa
Lucy Foley,A Última Festa,87,3,8,527,5,Suspense,Feminino,Baixa
Niklas Natt och Dag,1793,4,2,1,27,102,Suspense,Feminino,Baixa
Matt Ruff,Território Lovecraft,32,0,1,237,965,Suspense,Feminino,Baixa
C.J. Tudor,As Outras Pessoas,10,1,3,130,1,Suspense,Feminino,Baixa
C.J. Tudor,As Outras Pessoas,10,1,3,130,1,Suspense,Feminino,Baixa
Neil Gaiman,Coraline,204,68,27,1,33,Suspense,Feminino,Baixa
Josh Malerman,Malorie,5,1,3,168,1,Suspense,Feminino,Baixa
Neil Gaiman,Coraline,204,68,27,1,33,Suspense,Feminino,Baixa
Patricia Highsmith,Em Águas Profundas,0,0,32,5,48,Suspense,Feminino,Baixa
Joël Dicker,O Enigma do Quarto 622,0,0,306,107,45,Suspense,Feminino,Baixa
Joël Dicker,O Desaparecimento de Stephanie Mailer,25,3,5,174,1,Suspense,Feminino,Baixa
C.J. Tudor,O Que Aconteceu Com Annie,72,3,6,418,5,Suspense,Feminino,Baixa
Edgar Cantero,O Caso da Mansão Deboën,27,0,1,40,561,Suspense,Feminino,Baixa
Malin Persson Giolito,Areia Movediça,36,0,1,98,603,Suspense,Feminino,Baixa
C.J. Tudor,O que Aconteceu com Annie,72,3,6,418,5,Suspense,Feminino,Baixa
Gwenda Bond,Raízes do Mal,59,10,2,243,972,Suspense,Feminino,Baixa
Josh Malerman,Bird Box: Caixa de Pássaros,651,42,24,1,46,Suspense,Feminino,Baixa
Josh Malerman,Inspeção,22,0,2,66,432,Suspense,Feminino,Baixa
Chandler Baker,Rede de Sussurros,28,2,3,174,1,Suspense,Feminino,Baixa
Chandler Baker,Rede de Sussurros,28,2,3,174,1,Suspense,Feminino,Baixa
Chandler Baker,REDE DE SUSSURROS,28,2,3,174,1,Suspense,Feminino,Baixa
Lucy Foley,A Última Festa,87,3,8,527,5,Suspense,Feminino,Baixa
Delia Owens,Um Lugar Bem Longe Daqui,0,0,3,2,2,Suspense,Feminino,Baixa
C.J. Tudor,O Homem de Giz,296,12,17,1,18,Suspense,Feminino,Baixa
 Celeste Ng ,Pequenos incêndios por toda parte,158,4,8,381,5,Suspense,Feminino,Baixa
 Celeste Ng ,Tudo o que nunca contei,60,3,9,147,3,Suspense,Feminino,Baixa
Luca D'Andrea,A essência do mal,46,0,3,87,812,Suspense,Feminino,Baixa
